"YEAR","MFR","MODEL","TYPE","HP","CYLINDERS","TRANSMISSION","NUM_GEARS","DRIVETRAIN","CURBWEIGHT","AXELRATIO","NVRATIO","SIL","THC","CO","CO2","NOx","MPG","AFTERTREATMENT_DEVICE"
2011,"BMW","328i","Both",230,6,"Automatic",6,"2-Wheel Drive, Rear",4250,3.91,36.5,"Not eqipped",0.0003,0.0234,233.06,0.0032,38.2,"Three-way catalyst"
2011,"BMW","550i GT","Car",400,8,"Automatic",8,"2-Wheel Drive, Rear",5250,3.08,25.7,"Not eqipped",0.01195,0.0236,280.57,0.0238,31.6,"Three-way catalyst"
2011,"BMW","328i","Both",230,6,"Automatic",6,"2-Wheel Drive, Rear",4250,3.91,36.5,"Not eqipped",0.00035,0.0237,239.68,0.0043,37.1,"Three-way catalyst"
2011,"BMW","328xi","Both",230,6,"Manual",6,"All Wheel Drive",3875,3.38,40,"Not eqipped",0.00058,0.0255,244.94,0.0018,36.3,"Three-way catalyst"
2011,"BMW","335is Convertible","Car",320,6,"Semi-Automatic",7,"2-Wheel Drive, Rear",4250,2.56,35.5,"Not eqipped",0.00728,0.0325,305.62,0.0038,29.1,"Three-way catalyst"
2011,"BMW","328CiA Convertible","Car",230,,"Semi-Automatic",6,"2-Wheel Drive, Rear",4250,3.91,36.6,"Not eqipped",0.00045,0.0326,241.98,0.0003,36.8,
2011,"BMW","535i","Car",300,6,"Semi-Automatic",8,"2-Wheel Drive, Rear",4500,3.08,20.7,"Not eqipped",0.00038,0.033,206.37,0.0012,43.2,"Three-way catalyst"
2011,"BMW","M3","Car",414,8,"Manual",7,"2-Wheel Drive, Rear",4000,3.15,25.2,"Not eqipped",0.002,0.034,308.29,0.007,28.9,"Three-way catalyst"
2011,"BMW","535iA","Car",300,6,"Semi-Automatic",8,"2-Wheel Drive, Rear",4500,3.08,26.7,"Not eqipped",0.00171,0.035,212.46,0.0014,41.9,"Three-way catalyst"
2011,"BMW","X5 xDrive35d","Truck",265,6,"Automatic",6,"All Wheel Drive",5500,3.64,30,"Not eqipped",0.0153888,0.0353381,281.7194906,0.0105204,36.1,"Diesel Particulate Filter"
2011,"BMW","X5 xDrive35d","Truck",265,6,"Automatic",6,"All Wheel Drive",5500,3.64,30,"Not eqipped",0.0153888,0.0353381,281.7194906,0.0105204,36.1,"Oxidation catalyst"
